exposure,model_form,outcome,transform,n_obs,n_subjects,beta1,se1,ci1_low,ci1_high,p1,beta2,se2,ci2_low,ci2_high,p2,alpha
vo2_current_start,quadratic,meanhr,raw,923,22,1.467805795753766,0.2176456677890647,1.0412281254960298,1.8943834660115022,1.540679042523601e-11,-0.0740967611191319,0.08663467084396077,-0.2438975957857773,0.09570407354751352,0.39239705233150246,0.9707757466600007
vo2_current_start,linear,meanhr,raw,923,22,1.4729678832589457,0.21411074975511057,1.0533185250360608,1.8926172414818305,6.007682183530316e-12,,,,,,0.9706836897290962
vo2_current_start,quadratic,sdnn,raw,923,22,-0.6861126856983971,0.1072889657214354,-0.8963951944509629,-0.4758301769458313,1.6054980502134213e-10,-0.060653594652199126,0.060434189879453246,-0.1791024302507825,0.05779524094638427,0.3155567601233883,0.9874350706357176
vo2_current_start,linear,sdnn,raw,923,22,-0.6813004346529946,0.10915013919087144,-0.8952307763746365,-0.46737009293135273,4.3238404069630954e-10,,,,,,0.9875705469560663
vo2_current_start,quadratic,rmssd,log,923,22,-0.009263436066481752,0.0052143755586550435,-0.01948342436331156,0.0009565522303480577,0.07564745057726814,0.003879942825617038,0.0022595762624897727,-0.0005487452691845403,0.008308630920418615,0.08595892748911921,0.9978613083517842
vo2_current_start,linear,rmssd,log,923,22,-0.009472769754520001,0.005244319813624814,-0.019751447712634443,0.0008059082035944427,0.07087283517224831,,,,,,0.9979646862765856
vo2_current_start,quadratic,lfpowfft,log,923,22,-0.13186619891755866,0.02015481127859406,-0.1713689031388047,-0.09236349469631262,6.043168803990876e-11,-0.0002572629218157649,0.009343431391536514,-0.01857005194124829,0.018055526097616764,0.9780337467620392,0.9695511472505796
vo2_current_start,linear,lfpowfft,log,923,22,-0.13184807563175088,0.020188405273285904,-0.17141662287268977,-0.09227952839081201,6.538386517811139e-11,,,,,,0.9695549204936081
vo2_current_start,quadratic,hfpowfft,log,923,22,-0.06263431333023889,0.015884458653488264,-0.09376728020499149,-0.03150134645548629,8.042866628076066e-05,0.015483973600340577,0.007128585908835562,0.001512201958323146,0.029455745242358007,0.029848415627562144,0.9812272747210534
vo2_current_start,linear,hfpowfft,log,923,22,-0.06331897450012469,0.01457335328829033,-0.0918822220791521,-0.03475572692109728,1.3937345847541456e-05,,,,,,0.9812663884274421
vo2_current_start,quadratic,lfhffft,log,923,22,-0.041089502060788125,0.011058682632564862,-0.06276412173707385,-0.019414882384502404,0.0002027321568290974,-0.013903010907881057,0.0059840712982580715,-0.025631575133386722,-0.0021744466823753923,0.020161085679453575,0.9876418292091182
vo2_current_start,linear,lfhffft,log,923,22,-0.04019504344767786,0.010193214083794611,-0.06017337593862174,-0.02021671095673398,8.036333544169561e-05,,,,,,0.9879124144538213
vo2_current_start,quadratic,sampen,log,923,22,0.02888883992305239,0.00990467107608601,0.00947604133520823,0.048301638510896555,0.0035376892021060286,0.01051711490853724,0.004814099857041191,0.0010816525707570811,0.019952577246317396,0.028914646050671563,0.9942916526551654
vo2_current_start,linear,sampen,log,923,22,0.02808067837664657,0.009327598306288144,0.009798921634065,0.046362435119228135,0.002608231340965337,,,,,,0.9949515319144344
vo2_mid,quadratic,meanhr,raw,923,22,1.4729067459472966,0.23949673286260836,1.0035017751215738,1.9423117167730195,7.747919613989177e-10,0.048249261187564826,0.08738886356675885,-0.123029764053167,0.21952828642829664,0.5808651849916165,0.9697027168666212
vo2_mid,linear,meanhr,raw,923,22,1.4672269317845885,0.245209890693507,0.9866243773723115,1.9478294861968655,2.1831891783239636e-09,,,,,,0.9696859708847406
vo2_mid,quadratic,sdnn,raw,923,22,-0.7555815183942814,0.14906416365775496,-1.0477419105490655,-0.4634211262394973,4.002598696490862e-07,-0.09353781726851951,0.042242663228377525,-0.17633191580719393,-0.010743718729845073,0.026808330764625483,0.9871793824008025
vo2_mid,linear,sdnn,raw,923,22,-0.7424962739077646,0.1546348500517979,-1.0455750107640402,-0.43941753705148906,1.5739484824175076e-06,,,,,,0.9872013611750803
vo2_mid,quadratic,rmssd,log,923,22,-0.01008023825523738,0.0058174797866875575,-0.021482289117934747,0.001321812607459989,0.08314010858045102,0.0014558669356984138,0.003089955122112557,-0.004600333817487263,0.00751206768888409,0.6375256303773974,0.9979187152820671
vo2_mid,linear,rmssd,log,923,22,-0.010285773482064548,0.005484185301413156,-0.021034579157378275,0.00046303219324917745,0.06071935953419175,,,,,,0.9979712187993242
vo2_mid,quadratic,lfpowfft,log,923,22,-0.1259283043846447,0.022975723978273337,-0.17095989590079377,-0.08089671286849562,4.230990386342814e-08,-0.0030995935419803806,0.008458463155109784,-0.01967787669055459,0.013478689606593828,0.71403022267593,0.9682912446945863
vo2_mid,linear,lfpowfft,log,923,22,-0.12555272630647885,0.023476331010745036,-0.1715654895766799,-0.07953996303627778,8.890409883065006e-08,,,,,,0.9682856278118332
vo2_mid,quadratic,hfpowfft,log,923,22,-0.06791679430568662,0.013764977419767557,-0.0948956542964381,-0.04093793431493513,8.055057598384336e-07,0.011294837990622772,0.0062987717894578766,-0.0010505278635515748,0.02364020384479712,0.07294398473795062,0.9806347794140238
vo2_mid,linear,hfpowfft,log,923,22,-0.06916188337521928,0.013076047392057312,-0.09479046532379051,-0.04353330142664805,1.228497529119673e-07,,,,,,0.9808693019796089
