outcome,athlete_variable,n,pearson_r
lfhffft,vo2_mlkgmin_max,22,0.01795696759441273
lfhffft,AnThmlkgmin,22,-0.1797858833192211
lfhffft,hr_MAX,22,0.10144268499006134
lfhffft,age,22,-0.1406166279293867
lfhffft,wt_kg,22,-0.013297021457999778
lfhffft,bmi,22,-0.06660549525198999
lfhffft,bodyfat,22,-0.2693084279973811
meanhr,vo2_mlkgmin_max,22,-0.6075032586278397
meanhr,AnThmlkgmin,22,-0.4692540697331777
meanhr,hr_MAX,22,0.2542190259028737
meanhr,age,22,-0.008402001632937828
meanhr,wt_kg,22,0.33567002794838713
meanhr,bmi,22,0.2776597222313037
meanhr,bodyfat,22,0.4302518805268273
sampen,vo2_mlkgmin_max,22,0.11851320786080002
sampen,AnThmlkgmin,22,0.013545481416917284
sampen,hr_MAX,22,0.23450792969564704
sampen,age,22,0.020458777293925326
sampen,wt_kg,22,0.12499477297785101
sampen,bmi,22,0.1875718508647858
sampen,bodyfat,22,-0.0805476992648876
sdnn,vo2_mlkgmin_max,22,0.07215634310877526
sdnn,AnThmlkgmin,22,0.06497466369008205
sdnn,hr_MAX,22,-0.014795701496686619
sdnn,age,22,0.26802189225975526
sdnn,wt_kg,22,0.15209158131522524
sdnn,bmi,22,0.1882233206845596
sdnn,bodyfat,22,-0.0010600062823139383
