outcome,spacing_s,n_obs,n_subjects,beta1,se1,ci1_low,ci1_high,p1,beta2,se2,ci2_low,ci2_high,p2,alpha
meanhr,60,163,22,17.811330176569847,0.8061549886012119,16.231295432954173,19.39136492018552,3.59570693848375e-108,,,,,,0.9939762846137626
meanhr,150,72,22,17.905755417629486,0.8714245389014005,16.197794706138318,19.613716129120654,8.072479632003354e-94,,,,,,0.9251150547409398
meanhr,300,45,22,18.082341872489383,0.947298565771369,16.225670800971052,19.939012944007715,3.1573825545109213e-81,,,,,,0.766673315547897
sdnn,60,163,22,-10.704772868267911,0.7906458138739861,-12.254410187988283,-9.15513554854754,9.168658123231576e-42,,,,,,0.9571941180733259
sdnn,150,72,22,-10.641781358133585,0.9061275545802719,-12.41775873051027,-8.8658039857569,7.559720660124731e-32,,,,,,0.7444295808678427
sdnn,300,45,22,-10.531990870673058,0.9536396085053155,-12.401090157574354,-8.662891583771762,2.3437607763191563e-28,,,,,,0.456865005236248
rmssd,60,163,22,-0.06723302276059107,0.055375871074188905,-0.17576773567853468,0.04130169015735255,0.22470141992342152,,,,,,0.9451876473897038
rmssd,150,72,22,-0.07621432716790211,0.056274399682682746,-0.18651012379757254,0.03408146946176832,0.17562987560280985,,,,,,0.7639673284021162
rmssd,300,45,22,-0.09882581278135955,0.05900696627245875,-0.21447734151234837,0.016825715949629283,0.09397033345640232,,,,,,0.5009689182994328
lfpowfft,60,163,22,-1.4706083274406734,0.09180686190198604,-1.6505464703022084,-1.2906701845791384,9.49105106696775e-58,,,,,,0.8789251966748721
lfpowfft,150,72,22,-1.4939291690968277,0.10764171461396725,-1.7049030529743423,-1.2829552852193131,8.525332044826078e-44,,,,,,0.6683153734345032
lfpowfft,300,45,22,-1.5224610659220488,0.11987054785043294,-1.7574030225159825,-1.287519109328115,5.847088269234898e-37,,,,,,0.561467716126994
hfpowfft,60,163,22,-0.9183392180803635,0.12910523847684813,-1.1713808357104405,-0.6652976004502863,1.1346024954985878e-12,,,,,,0.8681675846516417
hfpowfft,150,72,22,-0.8797683724838014,0.12767405777231056,-1.1300049274776163,-0.6295318174899864,5.550401426241725e-12,,,,,,0.4851009166839196
hfpowfft,300,45,22,-0.9969431501964022,0.13651462511377435,-1.264506898782387,-0.7293794016104174,2.817763418699947e-13,,,,,,0.37239910684500455
lfhffft,60,163,22,-0.5466237833557819,0.09342968070327862,-0.7297425926212848,-0.36350497409027893,4.896738559968399e-09,,,,,,0.8447014403857996
lfhffft,150,72,22,-0.5644837920651019,0.08017857811607527,-0.7216309175042408,-0.407336666625963,1.917826111414863e-12,,,,,,0.5097102262765871
lfhffft,300,45,22,-0.4907679395369793,0.08525937751363186,-0.6578732488080019,-0.3236626302659567,8.604093874908549e-09,,,,,,0.5709768519834922
sampen,60,163,22,0.32291240472244753,0.07090209411954661,0.18394685381966702,0.46187795562522804,5.254973476046612e-06,,,,,,0.9163794880610147
sampen,150,72,22,0.2855982048033336,0.07378052223543177,0.14099103846133068,0.4302053711453365,0.00010842714808736175,,,,,,0.4149498215342605
sampen,300,45,22,0.25160099263537,0.08234555698097303,0.09020666666577204,0.41299531860496796,0.0022473889920449504,,,,,,0.029393304082908526
