id,id,age,ht_inches,wt_pounds,bodyfat,Clean,RFE,Bench,PullUpBW,Chin1RM,Vertical_1,Vertical_2,Vertical_3,Vertical_Avg,Jump4Contact,Jump4ELPF,Jump4AVG,Jump4_Perc,Sprint1,Sprint2,Sprint3,SprintAVG,Shuttle1,Shuttle2,Shuttle3,ShuttleAVG,Bike_5Mile_secs,AnThpercMax,AnThmlkgmin,AnThLmin,vo2_mlkgmin_max,hr_MAX,hr_AnTh,vo2_L_max,vco2_L_MAX,rq_MAX,ve_L_MAX,veo2_MAX,speed_MAX,grade_MAX,speed_m_s,grade,wtkg,Force_N,VertVelocity_m_s,PowerDone_watts,vo2_mlkgmin_max,kcals_min,Joules_min,PowerUsed_watts,Efficiency
130,1,24,72,180,9.5,230,260,215,13,65,26.7,27.5,26.3,26.83,0.51,1.39,24.9,0.928,1.74,1.78,1.75,1.7567,57,58,59,58,738,0.86,60.9,4.874,72.6,184,158,5.807,6.561,1.25,154.6,39,8,12,3.57632,0.12,81.82,802.64,0.43,344.46,72.6,29.62,"123,912.09","2,065.20",0.17
146,2,22,71.5,179,9.8,210,230,180,13,45,28.8,28.1,28.1,28.33,0.47,1.57,26,0.9176,1.67,1.66,1.67,1.6667,58,61,64,61,775,0.87,48.3,3.909,56.1,171,149,4.535,5.311,1.21,86.4,38,6.6,9,2.950464,0.09,81.36,798.18,0.27,211.95,56.1,23.13,"96,769.64","1,612.83",0.13
168,3,24,69,192,12.8,225,260,245,16,75,28.6,29,28.4,28.67,0.46,1.57,25.4,0.886,1.74,1.72,1.72,1.7267,56,61,61,59.33,755,0.82,51.6,4.505,63.65,193,158,5.5575,5.7505,1.5,136.65,47.5,7.95,11.75,3.553968,0.1175,87.27,856.15,0.42,357.52,63.65,28.34,"118,588.16","1,976.47",0.18
178,4,20,73,189,15.9,,180,210,15,55,27.1,26.1,27.6,26.93,0.54,1.37,26,0.9653,1.78,1.75,1.73,1.7533,57,62,62,60.33,725,0.9,58.5,5.004,67.8,183,165,5.7945,5.724,1.11,115.1,33,7.3,10.5,3.263392,0.105,85.91,842.77,0.34,288.78,67.8,29.55,"123,645.36","2,060.76",0.14
187,5,21,73,208,18.2,220,240,215,5,45,30.5,29,29.5,29.67,0.58,1.27,26.8,0.9034,1.72,1.67,1.63,1.6733,58,63,68,63,788,0.87,50.4,4.713,57.4,192,167,5.3735,5.301,1.12,125.8,30,7.4,10.5,3.308096,0.105,94.55,927.49,0.35,322.16,57.4,27.4,"114,661.89","1,911.03",0.17
218,6,22,70,192,12.2,,240,,9,40,27.5,25.8,26.5,26.6,0.61,1.19,25.3,0.9511,1.76,1.76,1.78,1.7667,59,62,70,63.67,793,0.92,53.6,4.631,59.8,188,173,5.1685,6.0625,1.18,123.2,31,7.5,11,3.3528,0.11,87.27,856.15,0.37,315.75,59.8,26.36,"110,287.52","1,838.13",0.17
278,7,23,71.5,210,15.7,,,,,,26.4,24.9,24.8,25.37,0.6,1.15,23,0.9067,1.77,1.79,1.84,1.8,59,61,63,61,683,0.84,45.4,4.434,60.9,179,150,5.948,6.785,1.25,111.95,34,7.1,10,3.173984,0.1,95.45,936.41,0.32,297.21,60.9,30.33,"126,920.80","2,115.35",0.14
313,8,21,71,184,10,265,270,245,18,70,32,31.3,31.3,31.53,0.45,1.76,29.9,0.9482,1.65,1.64,1.65,1.6467,55,60,60,58.33,735,0.82,52.2,4.293,63.9,193,158,5.2615,5.8155,1.14,121.4,29,7.5,11,3.3528,0.11,83.64,820.47,0.37,302.6,63.9,26.83,"112,271.99","1,871.20",0.16
327,9,21,71.5,198,14.7,245,265,270,15,75,28.3,27.2,27.8,27.77,0.54,1.32,24.6,0.886,1.69,1.67,1.68,1.68,58,60,62,60,747,0.85,48.4,4.329,60.4,184,156,5.4055,5.838,1.11,134.9,31,7.4,10.5,3.308096,0.105,90,882.9,0.35,306.68,60.4,27.57,"115,344.72","1,922.41",0.16
343,10,23,67,180,14.6,260,280,265,17,65,,,,,,,,,1.72,1.74,1.75,1.7367,56,60,60,58.67,,0.79,46.4,3.775,59,184,145,4.801,5.537,1.32,130.9,40,7.15,10,3.196336,0.1,81.82,802.64,0.32,256.55,62.65,24.49,"102,445.66","1,707.43",0.15
564,11,20,75,208,10.3,240,230,215,9,45,26.5,26.3,27.1,26.63,0.47,1.56,26.6,0.9987,1.75,1.69,1.71,1.7167,59,62,61,60.67,755,0.84,52,4.895,62.65,205,172,5.893,6.2555,1.4,137,50,7.9,11.5,3.531616,0.115,94.55,927.49,0.41,376.69,58.3,30.05,"125,747.19","2,095.79",0.18
570,12,22,71.5,189,9.8,290,305,240,14,70,30.6,30.9,31.3,30.93,0.53,1.47,28.9,0.9343,1.77,1.72,1.78,1.7567,59,61,61,60.33,790,0.74,38.8,3.33,58.3,187,138,5.005,4.862,1.05,118.8,41,7.4,10.5,3.308096,0.105,85.91,842.77,0.35,292.74,53.4,25.53,"106,798.69","1,779.98",0.16
578,13,21,72,186,17.3,,155,,7,30,25.3,23.8,24.8,24.63,0.55,1.27,23.2,0.9418,1.89,1.91,1.9,1.9,61,66,69,65.33,788,0.76,39.7,3.407,53.4,200,152,4.59,4.963,1.12,116.4,32,7,10,3.12928,0.1,84.55,829.39,0.31,259.54,69.8,23.41,"97,943.26","1,632.39",0.16
594,14,19,69,160,6.3,,180,230,20,70,27.1,29.1,29.5,28.57,0.5,1.48,26.6,0.9312,1.74,1.78,,1.76,58,61,62,60.33,810,0.81,54.2,3.986,69.8,187,151,5.138,5.287,1.12,96.35,32,7.2,10,3.218688,0.1,72.73,713.45,0.32,229.64,69.2,26.2,"109,636.70","1,827.28",0.13
613,15,19,71,194,10.5,,180,240,11,70,28.6,28.3,29.3,28.73,0.52,1.43,26.7,0.9292,1.81,1.82,1.85,1.8267,58,61,61,60,757,0.79,54.4,4.774,69.2,190,150,6.066,5.931,1.2,156.05,47,7.6,11,3.397504,0.11,88.18,865.06,0.37,323.3,67.2,30.94,"129,438.73","2,157.31",0.15
